https://ollama.lmbsoft.com.ar/v1,"gemma3:12b, gemma3:latest, granite3.2-vision:latest, phi4-mini:latest, internlm2:latest, deepscaler:latest, mathstral:latest, granite3.2:latest, phi3:mini-128k, nomic-embed-text:latest, llama3.1:latest, qwen2.5:latest, llama3.2:latest, gemma2:latest, granite3-guardian:latest, phi3.5:latest, mistral:latest, deepseek-r1:8b, llama3.2:1b, granite3.1-moe:latest, llava:latest, marco-o1:latest, granite3.1-dense:8b, granite-embedding:latest, phi4:latest, deepseek-r1:latest, granite3.1-dense:latest"
https://ollama.leniencesoft.com/v1,"granite3.2-vision:2b, gemma3:4b, gemma3:1b, phi4-mini:3.8b, granite3.2:2b, deepscaler:1.5b, smallthinker:3b, hf.co/silma-ai/SILMA-Kashif-2B-Instruct-v1.0-GGUF:latest, deepseek-r1:1.5b, granite3.1-moe:3b, granite3.1-moe:1b, falcon3:1b, mxbai-embed-large:latest, nomic-embed-text:latest, smollm2:360m, smollm2:135m, llama3.2:1b, llama3.2:3b, all-minilm:latest, gemma2:2b, qwen2.5:3b, qwen2.5:1.5b, qwen2.5:0.5b"
http://arhegforum.0537a.com:11434/v1,"llama3.2:latest, huihui_ai/qwen2.5-coder-abliterate:32b, llama3.3:latest"
https://ollama.sipki.tech/v1,"llama3.3:latest, gemma3:27b, gpt-4o:latest, gpt4-o:latest, qwq:latest, zergslaw/gpt-4o:latest, deepseek-r1:70b, llava:34b, deepseek-r1:32b, phi4:latest, smollm2:latest"
http://ollama.trinsic.knogen.ai/v1,"mxbai-embed-large:latest, nomic-embed-text:latest, deepscaler:latest, deepseek-r1:7b, deepseek-r1:1.5b, llama3.2:1b, llama3.2:latest"
http://154.9.254.211:11434/v1,"smollm2:135m, deepseek-r1:1.5b, qwen2.5:1.5b"
http://cdn2.fameboardshop.com/v1,"llama3.2:latest, gemma3:12b-it-fp16, gemma3:27b, gemma3:12b, deepseek-v2:16b, qwen2.5-coder:14b, Deepseek-coder-v2:16b, codellama:13b-python, llava:13b-v1.5-fp16, llava:34b, llava:13b, gemma2:27b"
http://103.119.171.148:8000/v1,"qwen2.5:1.5b, smollm2:135m, qwen2.5:14b, qwen2.5:7b, llama3:latest, llama3.1:70b"
http://34.226.211.67:11434/v1,"llama2:latest, qwen2.5:0.5b, mistral-nemo:latest, nomic-embed-text:latest, gemma2:latest, llama3.2:latest, phi3.5:latest"
http://81.183.223.17:11434/v1,"mistral-nemo:latest, MFDoom/deepseek-r1-tool-calling:14b, MFDoom/deepseek-r1-tool-calling:32b, llava-llama3:latest"
http://87.106.235.206:11434/v1,"smollm2:135m, llama2:latest, qwen:0.5b, all-minilm:latest, llama3.1:latest"
http://158.180.83.102:11434/v1,
http://136.243.80.109:80/v1,
http://119.23.45.208:11434/v1,"llava:latest, qwen2.5:3b, qwen2.5:7b, llama3:latest"
http://43.153.170.245:11434/v1,"qwen2.5:0.5b, qwen2.5:latest"
http://209.182.232.200:11434/v1,
http://129.226.152.105:11434/v1,"bge-m3:567m, qwen2.5:7b"
http://147.182.242.47:5001/v1,mistral:latest
http://27.128.165.46:8000/v1,"shaw/dmeta-embedding-zh:latest, llama3:latest, llama3.1:70b, llama3.1:latest, qwen2:latest"
http://43.207.217.170:11434/v1,llava:latest
http://61.152.96.242:50000/v1,"deepseek-r1:14b, deepseek-r1:1.5b, deepseek-r1:8b"
http://94.23.253.161:11434/v1,"qwen2.5:1.5b, smollm2:135m, llama2:latest, phi3:latest"
http://64.191.166.202:80/v1,"deepseek-r1:7b, llama3.2:latest, phi3.5:latest, qwen2.5:7b, qwen2.5:3b, qwen2.5:1.5b, qwen2.5:14b, qwen2.5:latest, dolphin-llama3:8b-256k, dolphin-llama3:latest, killphish_test2:latest, killphish_test:latest, llama3:70b, mario:latest, llama3:latest"
http://45.79.8.162:11434/v1,"llama2:latest, deepseek-r1:1.5b"
http://51.159.6.72:11434/v1,"llama2:latest, smollm2:135m, llama3.2:latest, deepseek-coder-v2:latest"
http://34.16.50.129:11434/v1,"smollm2:135m, llama3.1:latest"
http://13.60.157.83:11434/v1,
http://84.32.71.52:11434/v1,"llama2:latest, smollm2:135m, llama3.2:latest, llama3.2-vision:latest, llama3.2:3b"
http://120.55.65.148:9050/v1,"mistral:latest, llama3:8b"
http://51.12.58.223:11434/v1,"llama2:latest, smollm2:135m, llama3.2-vision:11b, llava:34b, qwen2.5:latest, qwen:72b, llama3.2:latest, llama3.3:70b-instruct-q2_K, qwen2.5:32b"
http://72.146.53.17:80/v1,"deepseek-r1:70b, llama3.2:latest"
http://52.172.145.196:11434/v1,"deepseek-r1:8b, deepseek-r1:32b, smollm2:135m, gemma:2b"
http://90.156.168.152:11434/v1,
http://212.229.82.210:11434/v1,
http://87.106.230.64:11434/v1,"phi:latest, gemma2:9b, gemma:2b, mistral:latest"
http://49.254.214.122:12000/v1,"llama3.3:70b-instruct-q5_K_M, llama3.3:70b-instruct-q8_0, llama3.1:70b, llava:34b, llava-llama3:latest"
http://194.163.237.98:11434/v1,"deepseek-r1:14b, deepseek-r1:32b, deepseek-coder-v2:latest, deepseek-r1:latest"
http://65.108.9.54:11434/v1,llama3.2:latest
http://5.9.86.204:80/v1,
http://34.110.190.52:80/v1,llama3.2:latest
http://60.28.59.242:11434/v1,"quentinz/bge-large-zh-v1.5:f32, glm4:9b-chat-fp16, qwen2.5:7b-instruct-fp16"
http://211.178.28.41:11434/v1,"smollm2:135m, llama3.3:70b, llama3.1:8b-instruct-q8_0, eeve-korean-instruct-10.8B-Q8:latest"
http://191.252.224.245:80/v1,"llama3.3:70b, deepseek-r1:7b, llama3.2:3b"
http://134.122.93.134:11434/v1,"smollm2:135m, qwen2.5:1.5b, llama3:latest, llama2:latest, llama3.1:latest"
http://12.221.142.228:11434/v1,"smollm2:135m, llama2:latest, deepseek-r1:7b"
http://128.140.85.99:11434/v1,"smollm2:135m, qwen2.5:1.5b, qwen2.5:0.5b, llama3.2:latest"
http://157.90.117.52:82/v1,
http://130.237.81.21:11434/v1,"smollm2:135m, qwen2.5-coder:14b, llama3.2-vision:latest, llama3.1:70b-text-fp16"
http://208.69.58.12:11434/v1,"smollm:1.7b, openchat:latest, deepseek-r1:14b, deepseek-r1:1.5b, deepseek-r1:32b"
http://5.182.33.104:11434/v1,"deepseek-r1:7b, smollm2:135m, llama3.1:8b, llama3.2:3b"
http://37.60.227.8:11434/v1,"deepseek-r1:latest, phi:latest, llama2:latest, llama2-uncensored:latest, mxbai-embed-large:latest, llama3.3:latest"
http://34.27.175.138:11434/v1,"llama3.1:latest, qwen:14b, llama3.3:latest, deepseek-r1:32b, deepseek-r1:70b, deepseek-r1:latest, llama3.2:latest"
http://173.208.247.7:11434/v1,llava:latest
http://5.9.10.144:11434/v1,
http://20.5.11.9:11434/v1,"smollm2:135m, deepseek-r1:7b, qwen2.5-coder:latest, codellama:7b-code-q6_K, stable-code:3b-code-q4_0, llama2:latest, starcoder2:3b, llama3.1:latest, codebooga:latest, deepseek-coder:1.3b-base"
http://158.101.138.2:11434/v1,
http://146.56.147.77:11434/v1,bge-m3:latest
http://152.136.155.127:11434/v1,
http://65.21.206.119:11434/v1,
http://77.235.54.242:11434/v1,
http://140.112.84.136:8080/v1,"kenneth85/llama-3-taiwan:latest, cwchang/llama3-taide-lx-8b-chat-alpha1:latest, llama3.2-vision:latest, gemma2:latest, llama3.1:latest"
http://130.237.224.95:8080/v1,mxbai-embed-large:latest
http://109.199.118.184:11434/v1,"llama3:latest, llava:latest"
http://3.17.61.100:11434/v1,llama3.2-vision:latest
http://86.111.55.36:11434/v1,"llama2:latest, qwen2.5:1.5b, qwen2.5:0.5b, smollm2:135m, llama3:latest"
http://144.24.80.150:11434/v1,
http://161.97.95.190:11434/v1,"deepseek-coder-v2:latest, smollm2:135m, qwen2.5:1.5b, qwen2.5:0.5b, orca-mini:latest, mistral:latest, llama3.2:3b, qwen2.5-coder:32b, llama3.1:latest, llama3:8b"
http://123.246.205.235:11434/v1,
http://132.145.69.245:11434/v1,"smollm2:135m, llama2:latest, llama3.2:latest"
http://107.174.67.31:11434/v1,
http://85.5.133.218:11434/v1,"qwen:0.5b, mistral:latest"
http://147.182.139.149:11434/v1,"llama3.1:latest, nomic-embed-text:latest"
http://108.181.252.243:11434/v1,
http://77.165.82.108:11434/v1,"smollm2:135m, deepseek-r1:8b, phi4:latest, llama2:latest, llama3.2:latest, qwen2.5-coder:latest, marco-o1:latest, qwen2.5:latest, llama3.1:latest"
http://34.29.213.43:11434/v1,"smollm2:135m, llama2:latest, all-minilm:33m, llama3.1:latest"
http://47.236.156.218:11434/v1,"qwen:0.5b, qwen:1.8b, qwen2:1.5b"
http://69.197.150.18:11434/v1,"qwen2.5:1.5b, smollm2:135m, nemotron:latest, llama3.1:70b"
http://51.79.24.189:11434/v1,"mistral:latest, llama3.1:8b"
http://36.139.11.103:11434/v1,"smollm2:135m, qwen2.5:72b, qwen2.5:32b, qwen2.5:14b, qwen2.5:7b, qwen2:7b, qwen:7b"
http://44.243.92.59:11434/v1,"jimscard/whiterabbit-neo:latest, llama2:latest, llama3.1:latest, llama3.1:8b"
http://218.152.198.253:11434/v1,deepseek-r1:32b
http://176.114.88.91:11434/v1,"llama2:latest, qwen2.5:1.5b, qwen2.5:32b"
http://86.38.182.9:11434/v1,"smollm2:135m, gemma2:27b-instruct-q6_K"
http://65.21.174.152:11434/v1,"smollm2:135m, llama2:latest, qwen2.5:1.5b, qwen2.5:0.5b, llama3.2:3b-instruct-q8_0"
http://93.180.52.4:11434/v1,"qwen2.5:14b, nomic-embed-text:latest, deepseek-r1:14b"
http://85.89.178.134:20000/v1,llama3.2:latest
http://108.128.133.45:11434/v1,
http://154.21.201.109:11434/v1,qwen2.5:1.5b
http://18.167.251.121:10000/v1,"gemma2:27b, translator:latest, qwen2.5-coder:3b, icky/translate:latest, llama3.2:1b, mxbai-embed-large:latest"
http://3.110.204.96:11434/v1,
http://161.35.116.222:11434/v1,llama2:latest
http://186.116.133.213:11434/v1,"smollm2:135m, hotmentor10:latest, hotmentor9:latest, hotmentor8:latest, hotmentor7:latest, hotmentor6:latest, llama3.2:latest, mistral:latest, resumen:latest, trafic:latest, hotmentor5:latest, hotmentor4:latest, openhermes2.5-mistral:latest, hotmentor3:latest, hotmentor2:latest, hotmentor1:latest"
http://5.189.160.91:8081/v1,"llama3.2:latest, qwen2.5-coder:32b, dolphin-mistral:latest"
http://187.217.251.136:11434/v1,"smollm2:135m, nomic-embed-text:latest, llama3.2:latest"
http://194.233.70.165:11434/v1,"deepseek-r1:1.5b, deepseek-r1:8b"
http://78.46.76.134:11434/v1,"mistral-small:latest, mistral-nemo:latest, llama3.1:70b, gemma2:latest, llama3.1:latest, gemma2:2b, gemma2:27b"
http://147.28.215.15:11434/v1,"deepseek-r1:32b, llama3.3:latest, deepseek-r1:latest"
http://194.164.49.223:11434/v1,"smollm2:135m, llama2:latest, nomic-embed-text:latest, llama3.2:latest"
http://185.250.36.173:11434/v1,llama3.2:latest
http://23.94.25.178:11434/v1,"llama3.2:latest, snowflake-arctic-embed:33m"
http://82.157.176.106:10086/v1,
http://113.45.153.17:11434/v1,"smollm2:135m, qwen2.5:0.5b"
http://94.237.116.152:11434/v1,
http://5.75.240.81:8001/v1,
http://64.227.44.80:11434/v1,"smollm2:135m, llama2:latest, llama3.1:latest"
http://202.90.198.118:11434/v1,deepseek-r1:1.5b
http://162.0.213.12:11434/v1,"smollm2:135m, qwen2.5:0.5b, llama3.2:1b"
http://8.140.59.182:11434/v1,"glm4:latest, gemma:latest, qwen2:latest, llama3:latest, llama3:8b"
http://192.99.34.167:11434/v1,"smollm2:135m, llama3.2:1b, llama2:latest, qwen2.5:latest"
http://47.109.192.172:11434/v1,"qwen2.5-coder:latest, gpt-4-8k:latest, qwen2.5-coder-extra-ctx:latest, qwen2.5-coder:7b, qwen2:7b, nomic-embed-text:latest"
http://211.233.58.13:11434/v1,"smollm2:135m, llama3.1:8b-instruct-q8_0, mxbai-embed-large:latest, llama3.1:8b, llama3.1:latest"
http://195.90.220.80:11434/v1,"smollm2:135m, llama3.2:latest"
http://168.119.60.18:11434/v1,"qwen2.5:1.5b, smollm2:135m, gemma2:latest"
http://103.150.120.36:11434/v1,"deepseek-r1:1.5b, ishumilin/deepseek-r1-coder-tools:8b, ishumilin/deepseek-r1-coder-tools:14b, nezahatkorkmaz/deepseek-v3:latest, deepseek-r1:8b, deepseek-r1:14b, deepseek-r1:32b"
http://93.191.63.244:8086/v1,"mistral-nemo:12b-instruct-2407-fp16, mistral:latest, llama3.2:latest, nomic-embed-text:latest"
http://138.68.179.168:11434/v1,"llama2:latest, llama3.2:1b"
http://91.134.81.15:11434/v1,"deepseek-r1:7b, deepseek-r1:32b, smollm2:135m, llama3.2-vision:11b-instruct-fp16, llama3.2:latest, bakllava:latest, llama3.1:8b-instruct-fp16, llama3.2:3b-instruct-fp16"
http://165.232.88.184:11434/v1,llama3.2:latest
http://45.136.145.37:8081/v1,"deepseek-coder-v2:236b, deepseek-r1:70b-llama-distill-fp16, deepseek-r1:70b-llama-distill-q8_0, deepseek-r1:70b"
http://64.23.186.78:11434/v1,"deepseek-r1:7b, deepseek-r1:latest, deepseek-r1:1.5b, Flexerpai/flexai-netsuite-1.2:latest, codellama:code, flexai-1.1:latest, flexai-1.0:latest, phi:latest, gemma2:latest, qwen2:latest, gemma:latest, mistral:latest, llama3.2:latest, tinyllama:latest"
http://110.40.206.27:8002/v1,
http://188.242.221.167:11434/v1,"qwen2-math:latest, qwen2.5-coder:latest, bespoke-minicheck:latest, deepseek-coder-v2:latest, glm4:latest, qwen2:7b, llama3.1:latest, codellama:latest"
http://43.136.59.99:11434/v1,
http://83.222.26.174:11434/v1,
http://108.59.185.233:2052/v1,"mistral-nemo:12b-instruct-2407-q8_0, deepseek-r1:8b-llama-distill-q4_K_M, deepseek-r1:8b, mistral-nemo:latest, codestral:latest, llama3.1:latest, llama3:latest, gdisney/mistral-uncensored:latest"
http://79.137.89.25:11434/v1,"deepseek-r1:latest, qwen2.5:1.5b, mistral:latest, llama3.2:latest"
http://129.146.232.34:11434/v1,
http://110.80.146.162:8082/v1,"bge-large:latest, qwen2.5:latest, llama3.2:3b, minicpm-v:latest, bge-m3:latest"
http://152.67.99.197:8081/v1,"llama3.2:latest, llava:13b, qwen2.5-coder:32b, wizardlm2:latest"
